Year,Articles,Cross-lists,Total
2023,399,463,862
2022,585,565,1150
2021,667,567,1234
2020,419,510,929
2019,476,469,945
2018,518,420,938
2017,649,400,1049
2016,541,428,969
2015,624,441,1065
2014,589,382,971
2013,726,364,1090
2012,596,409,1005
2011,592,406,998
2010,573,376,949
2009,527,268,795
2008,509,235,744
2007,607,213,820
2006,504,223,727
2005,663,198,861
2004,586,201,787
2003,575,245,820
2002,583,226,809
2001,575,219,794
2000,508,269,777
1999,588,213,801
1998,623,245,868
1997,548,167,715
1996,558,173,731
1995,436,153,589
1994,446,145,591
1993,374,106,480
1992,322,61,383
